"","plot_quad","AGHE","ALAC","ANLU","BA_0","BROM","BRTE","CAQU","CATE","CLLI","COPA","DAUN","DEDA","DEDI","DODE","EPBR","JUNC","LEAF","LITH","LITT","LOLE","LONU","MADI","MAMI","MIGR","NAVA","NEPA","POAC","PODO","POPO","POSE","PSSP","SAAN","SEST","SIID","TRGR","TRMA","TROB","VEDU","ZICO"
"244","SEEP03_C.4",0,0,0,0.25,0,0,0,0,0,0,8,1,2,1,1,0,20,0,0,13,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,10,0,0,22,8
"245","SEEP03_C.5",0.25,0,0,0.25,0,0,0,2,0,0,0,5,2,0.25,1,0,12,0,0,0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,14,0,0,14,0
"246","SEEP03_C.6",0,0,0,0,0,0,0,1,0,0,0,5,2,4,0,0,9,0,0,0,0,0,0,0,1,0.25,0,0.25,0,7,0,4,0,0,2,0,17,34,5
"247","SEEP03_C.7",0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,6,0,0,10,0,0,0,0,0.25,0,0,0,0,0,0,1,0,0,6,0,0,33,3
"248","SEEP03_CC1",0,0,0,0,0,0,0,0.25,0,0,0,2,3,7,1,0,7,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,0,30,0,0,14,2
"249","SEEP03_CC2",0,0,0,0,1,0,0,0,0,0,0,2,8,7,0,39,16,0,0,13,0,0,0,1,0,0.25,0,0,0,2,0,3,0,0,22,0,0,7,8
"250","SEEP03_CC3",0,0,0,0,0,0,0,0.25,0,0,0,1,0,4,0,0,40,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,17,0.25,5
"261","SEEP04_C.1",1,0,0,0,29,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,25,0
"262","SEEP04_C.2",0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,50,0
"263","SEEP04_C.3",0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,15,0
"264","SEEP04_C.4",0,0,0,0,19,0,0,0,0,0,24,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,20,0
"265","SEEP04_C.5",0,0,1,0,14,0,0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0
"266","SEEP04_C.6",0,0,0,0,20,0,5,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0
"267","SEEP04_C.7",0,0,1,0,4,0,0,0,0,0,10,0,0,0,0,25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,3,0,15,0
