plot_quad,AGHE2,ALAC4,ANLU2,HEPU6,BRAR5,BRTE,CAQU2,CATE26,MOLI4,COPA3,DAUN,DEDA,DEDI11,DODEC,EPBR3,JUTE,ALLIU,LIGL2,ELBE,LOBIL,LONU2,MAGR3,HEMI20,MIGR,NAVAR,NEPA,POAC,PODO4,POPO4,POSE,PSSP6,SAAN2,SEST2,SIID,TRGR7,TRMA3,TROB,VEDU,ZIVE
ARRI05_C.1,1,0,0,0,0,0,0,0,0,0.25,32,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0
ARRI05_C.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,22,0,0,0,0,0,0,0,19,0
ARRI05_C.3,0.25,0,10,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0
ARRI05_C.4,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,1,0,22,0
ARRI05_C.5,2,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,35,0
ARRI05_C.6,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,4,0,0,1,0,0,6,0,17,0
ARRI05_C.7,0,0,0,0,0,0,0,0,0,0.25,34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,16,0
SEEP01_C.1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,3,0,0,0.25,0,0,0,0,10,0,0,0,0,0,0,0,9,0
SEEP01_C.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,9,0,12,0
SEEP01_C.3,1,0,0,0,0,0,0,1,0.25,0,0,0,0,0,0,0,0,0.25,0,19,0,1,0,0,0.25,0,0,0,0,1,0,0,0,0,2,0,0,28,0
